pos_group,title,jp,kr,ex1_jp,ex1_kr,ex2_jp,ex2_kr
noun,N+じゃありません,XはYじゃありません。,X는 Y가 아닙니다.,私は学生(がくせい)じゃありません。,저는 학생이 아닙니다.,それは私(わたし)のじゃありません。,그것은 제 것이 아닙니다.
noun,N+じゃありませんでした,XはYじゃありませんでした。,X는 Y가 아니었습니다.,きのうは休(やす)みじゃありませんでした。,어제는 휴일이 아니었습니다.,前(まえ)は学生(がくせい)じゃありませんでした。,전에는 학생이 아니었습니다.
noun,N+でした,XはYでした。,X는 Y였습니다.,きのうは休(やす)みでした。,어제는 휴일이었습니다.,前(まえ)は東京(とうきょう)でした。,전에는 도쿄였습니다.
noun,정도(～くらい),XはYくらいです。,X는 Y 정도입니다.,家(いえ)から駅(えき)まで10分(ぷん)くらいです。,집에서 역까지 10분 정도입니다.,日本語(にほんご)は一年(いちねん)くらい勉強(べんきょう)しました。,일본어는 1년 정도 공부했습니다.
noun,～があります/います,Xがあります。/Xがいます。,X가 있어요/있습니다.,机の上に本があります。,책상 위에 책이 있어요.,公園に子どもがいます。,공원에 아이가 있어요.
noun,～がすきです,Xがすきです。,X를 좋아해요.,私は猫がすきです。,저는 고양이를 좋아해요.,私はコーヒーがすきです。,저는 커피를 좋아해요.
noun,～です,これはXです。,이것은 X입니다.,これは本です。,이것은 책입니다.,これは私のかばんです。,이것은 제 가방입니다.
noun,～は～です,XはYです。,X는 Y예요.,私は学生です。,저는 학생이에요.,これは日本語の本です。,이것은 일본어 책이에요.
noun,～をください,Xをください。,X 주세요.,水をください。,물 주세요.,これをください。,이거 주세요.
adj_i,い形容詞＋かったです,昨日はXかったです。,어제는 ~했어요.,昨日は寒かったです。,어제는 추웠어요.,この店は安かったです。,이 가게는 쌌어요.
adj_i,い形容詞＋くて,Xくて、Yです。,"~해서, ~해요.",安くておいしいです。,싸고 맛있어요.,近くて便利です。,가깝고 편리해요.
