pos,base_jp,base_kr,reading,kr_root,kr_pattern
i_adj,良い,좋다,よい,좋,it
i_adj,悪い,나쁘다,わるい,나쁘,eu
i_adj,大きい,크다,おおきい,크,eu
i_adj,小さい,작다,ちいさい,작,it
i_adj,多い,많다,おおい,많,it
i_adj,少ない,적다,すくない,적,it
i_adj,長い,길다,ながい,길,it
i_adj,短い,짧다,みじかい,짧,it
i_adj,早い,빠르다,はやい,빠르,reu
i_adj,遅い,느리다,おそい,느리,it
i_adj,近い,가깝다,ちかい,가깝,wo
i_adj,遠い,멀다,とおい,멀,it
i_adj,広い,넓다,ひろい,넓,it
i_adj,狭い,좁다,せまい,좁,it
i_adj,太い,굵다,ふとい,굵,it
i_adj,細い,가늘다,ほそい,가늘,reu
i_adj,厚い,두껍다,あつい,두껍,wo
i_adj,薄い,얇다,うすい,얇,it
i_adj,重い,무겁다,おもい,무겁,wo
i_adj,軽い,가볍다,かるい,가볍,wo
i_adj,高い,높다,たかい,높,it
i_adj,低い,낮다,ひくい,낮,it
i_adj,高い,비싸다,たかい,비싸,it
i_adj,安い,싸다,やすい,싸,it
i_adj,暖かい,따뜻하다,あたたかい,따뜻하,ha
i_adj,暑い,덥다,あつい,덥,wo
i_adj,涼しい,시원하다,すずしい,시원하,ha
i_adj,寒い,춥다,さむい,춥,wo
i_adj,柔らかい,부드럽다,やわらかい,부드럽,wo
i_adj,硬い,딱딱하다,かたい,딱딱하,ha
i_adj,嬉しい,기쁘다,うれしい,기쁘,eu
i_adj,悲しい,슬프다,かなしい,슬프,eu
i_adj,強い,강하다,つよい,강하,ha
i_adj,弱い,약하다,よわい,약하,ha
i_adj,熱い,뜨겁다,あつい,뜨겁,wo
i_adj,冷たい,차갑다,つめたい,차갑,wo
i_adj,明るい,밝다,あかるい,밝,it
i_adj,暗い,어둡다,くらい,어둡,wo
i_adj,易しい,쉽다,やさしい,쉽,wo
i_adj,難しい,어렵다,むずかしい,어렵,wo
i_adj,新しい,새롭다,あたらしい,새롭,wo
i_adj,古い,낡다,ふるい,낡,it
i_adj,面白い,재미있다,おもしろい,재미있,it
i_adj,詰まらない,시시하다,つまらない,시시하,ha
i_adj,深い,깊다,ふかい,깊,it
i_adj,浅い,얕다,あさい,얕,it
i_adj,美味しい,맛있다,おいしい,맛있,it
i_adj,不味い,맛없다,まずい,맛없,it
i_adj,甘い,달다,あまい,달,it
i_adj,苦い,쓰다,にがい,쓰,eu
i_adj,しょっぱい,짜다,しょっぱい,짜,it
i_adj,辛い,맵다,からい,맵,wo
i_adj,濃い,진하다,こい,진하,ha
i_adj,薄い,연하다,うすい,연하,ha
i_adj,優しい,상냥하다,やさしい,상냥하,ha
i_adj,酷い,심하다,ひどい,심하,ha
i_adj,美しい,아름답다,うつくしい,아름답,wo
i_adj,可愛い,귀엽다,かわいい,귀엽,wo
i_adj,忙しい,바쁘다,いそがしい,바쁘,eu
i_adj,痛い,아프다,いたい,아프,it
i_adj,眩しい,눈부시다,まぶしい,눈부시,it
i_adj,汚い,더럽다,きたない,더럽,wo
i_adj,辛い,괴롭다,つらい,괴롭,wo
i_adj,寂しい,쓸쓸하다,さびしい,쓸쓸하,ha
i_adj,眠い,졸리다,ねむい,졸리,it
i_adj,大人しい,온순하다,おとなしい,온순하,ha
i_adj,憎い,밉다,にくい,밉,wo
i_adj,好ましい,바람직하다,このましい,바람직하,ha
i_adj,羨ましい,부럽다,うらやましい,부럽,wo
i_adj,欲しい,원하다,ほしい,원하,ha
i_adj,苦しい,고통스럽다,くるしい,고통스럽,wo
i_adj,可笑しい,이상하다,おかしい,이상하,ha
i_adj,危ない,위험하다,あぶない,위험하,ha
i_adj,勇ましい,용감하다,いさましい,용감하,ha
i_adj,図々しい,뻔뻔스럽다,ずうずうしい,뻔뻔스럽,wo
i_adj,親しい,친하다,したしい,친하,ha
i_adj,幼い,어리다,おさない,어리,it
i_adj,若い,젊다,わかい,젊,it
i_adj,偉い,훌륭하다,えらい,훌륭하,ha
i_adj,正しい,옳다,ただしい,옳,it
i_adj,恋しい,그립다,こいしい,그립,wo
i_adj,黒い,검다,くろい,검,it
i_adj,白い,희다,しろい,희,it
i_adj,赤い,붉다,あかい,붉,it
i_adj,青い,푸르다,あおい,푸르,reu
i_adj,黄色い,노랗다,きいろい,노랗,it
i_adj,うるさい,시끄럽다,うるさい,시끄럽,wo
i_adj,もどかしい,답답하다,もどかしい,답답하,ha
i_adj,もったいない,아깝다,もったいない,아깝,wo
i_adj,だるい,나른하다,だるい,나른하,ha
